Complexity,Loss,Equation
1,0.26200965,"-0.0018336815"
3,0.2217794,"x0 * 0.23113334"
4,0.14355919,"sin(x0 / -0.31213984)"
5,0.087801866,"x0 * log(square(x0))"
6,0.020356769,"x0 * (square(x0) + -1.0013454)"
8,0.02033614,"(x0 + 0.0069855233) * (square(x0) + -1.0013496)"
10,5.927771e-15,"(x1 * 0.012) + (x0 * (square(x0) + -1.0))"
12,5.832475e-15,"((x1 + 2.8644322e-7) * 0.012) + ((square(x0) + -1.0) * x0)"
14,5.4547973e-15,"((-0.99993485 + square(x0)) * x0) + (((x0 * -0.0054278034) + x1) * 0.012)"
16,5.4171556e-15,"(x0 * (square(x0) + -0.9999974)) + ((((x0 - 0.0043103513) * -0.00021793862) + x1) * 0.012000001)"
18,5.402658e-15,"((x0 / x0) * ((x1 + (x0 * -0.00021793862)) * 0.012)) + ((square(x0) + -0.9999974) * x0)"
19,5.299966e-15,"((((x0 - (square(x0) * 0.0035665252)) * -0.00021793862) + x1) * 0.012) + ((square(x0) + -0.9999974) * x0)"
22,5.2066344e-15,"((-0.9999974 + square(x0)) * x0) + (0.012 * ((x1 + (-0.00021793862 * x0)) + (square(square(x0) * 0.00024791498) * x1)))"
