Complexity,Loss,Equation
1,0.26200965,"-0.0018337237"
3,0.2217794,"x0 * 0.23113334"
4,0.16344874,"x0 - tanh(x0)"
6,0.113988064,"x0 + tanh(x0 * -2.4408145)"
7,0.020356772,"((x0 * x0) + -1.0013285) * x0"
9,0.02033614,"((x0 * x0) + -1.001355) * (x0 + 0.006986785)"
11,5.920232e-15,"(((x0 * x0) + -1.0) * x0) + (x1 * 0.012)"
13,5.8356055e-15,"((x1 * 0.012) - -3.7359293e-9) + (((x0 * x0) + -1.0) * x0)"
15,5.7503703e-15,"(x1 * 0.012) + ((((x0 + -1.0478213) - -0.047821295) * x0) * (x0 + 1.0))"
17,5.0543663e-15,"((x0 + 0.9999) * ((x0 + -0.9999) * x0)) + ((x0 * -0.0002000301) + (x1 * 0.012))"
19,5.0485285e-15,"(((x0 * -0.00020002884) + 2.5601021e-9) + (x1 * 0.012)) + (((x0 + -0.9999) * x0) * (x0 + 0.9999))"
20,5.00759e-15,"((x1 * 0.012) + (tanh(x0 * -0.00020002873) + 2.1945872e-9)) + ((x0 + 0.9999) * (x0 * (x0 + -0.9999)))"
21,5.001252e-15,"((x0 * (x0 + -0.9999)) * (x0 + 0.9999)) + ((x1 * 0.012) + (x0 * ((x0 * 1.4470268e-9) + -0.00020002823)))"
23,4.9978938e-15,"((x0 * (x0 + -0.9999)) * (x0 + 0.9999)) + (((-0.00020002792 + ((-0.4399039 + x0) * 1.7653808e-9)) * x0) + (x1 * 0.012))"
