Complexity,Loss,Equation
1,0.26200965,"-0.0018337595"
3,0.2217794,"x0 * 0.23113334"
4,0.16344874,"x0 - tanh(x0)"
6,0.113988064,"tanh(x0 * -2.441535) + x0"
7,0.020356769,"((x0 * x0) - 1.001309) * x0"
9,0.020336142,"((x0 * x0) - 1.0013639) * (x0 - -0.0069433)"
11,5.9418074e-15,"(((x0 * x0) - 1.0) * x0) - (x1 * -0.012)"
13,5.5218633e-15,"((((x0 * x0) + -0.20458472) - 0.7954153) * x0) + (x1 * 0.012)"
15,5.3082826e-15,"(x0 * ((x0 * x0) - 0.99999994)) + ((x0 * -5.3174475e-8) - (x1 * -0.012000001))"
17,5.259613e-15,"((2.1011384e-9 - (x1 * -0.012000001)) + (x0 * -5.1749367e-8)) + (((x0 * x0) - 0.99999994) * x0)"
19,5.212935e-15,"(((x0 * x0) - 0.99999994) * x0) + ((x0 * -6.086536e-8) + ((x0 * 5.0128417e-9) - (x1 * -0.012)))"
20,5.212208e-15,"(x0 * ((x0 * x0) - 0.99999994)) + ((x0 * -6.086536e-8) + ((tanh(x0) * 6.5820385e-9) - (x1 * -0.012)))"
21,5.1104166e-15,"((((x0 * 3.4737577e-9) - -3.3427436e-9) - (x1 * -0.012)) + (x0 * -6.086536e-8)) + (((x0 * x0) - 0.99999994) * x0)"
