Complexity,Loss,Equation
1,0.26200965,"-0.0018337595"
3,0.2217794,"x0 * 0.23113334"
4,0.16344874,"x0 - tanh(x0)"
6,0.113988064,"x0 - tanh(x0 * 2.441535)"
7,0.020356769,"x0 * ((x0 * x0) + -1.0013454)"
9,0.02033614,"((x0 * x0) + -1.0013497) * (x0 - -0.006996805)"
11,6.719201e-15,"(x1 * 0.011999999) + (((x0 * x0) * x0) - x0)"
13,6.5436992e-15,"((x1 + 8.2176683e-7) * 0.012000001) + (((x0 * x0) * x0) - x0)"
15,6.1458542e-15,"((x1 * 0.012) + 0.056684285) + ((((x0 * x0) * x0) - x0) + -0.056684285)"
17,6.03597e-15,"((x1 * 0.012) + 0.034253415) + (((((x0 * x0) * x0) - x0) + 0.034253277) - 0.06850668)"
