Complexity,Loss,Equation
1,0.26200965,"0.0018336715"
2,0.12741153,"tanh(x2)"
3,4.701374e-16,"x2 - x3"
5,4.1676342e-16,"(-3.7539603e-9 - x3) + x2"
7,4.1479278e-16,"((x0 * 4.3203827e-9) - x3) + x2"
9,3.8131954e-16,"x2 - (x3 + ((x0 * -1.090107e-8) * x2))"
12,3.6944014e-16,"x2 - (((tanh(1.2407418 - x3) * -1.6039126e-8) * x2) + x3)"
13,3.546742e-16,"x2 - (((x2 + (0.6205589 - x0)) * (x2 * 7.464748e-9)) + x3)"
14,3.2625247e-16,"x2 - (x3 + ((tanh(x2 * (x3 * 4.9453382)) * -1.6039126e-8) * x2))"
17,3.0671256e-16,"x2 - (x3 + (x2 * (tanh((x2 + -0.41273692) * tanh(x3 * 4.9453382)) * -1.6039126e-8)))"
