Complexity,Loss,Equation
1,0.19312592,"-0.030480256"
3,0.17103119,"tanh(tanh(x0))"
4,0.16175774,"tanh(tanh(tanh(x0)))"
5,0.12559012,"tanh(tanh(x0 * 6.08633))"
6,0.09681647,"tanh(x0 * 22.64038) * 0.40890244"
8,0.09203287,"(x1 * tanh(x0 * 19.02584)) * 0.46523505"
10,0.081875615,"(x1 + (tanh(x0 * 18.115484) - 1.0338695)) * 0.47983938"
11,0.08028061,"tanh(x1 + ((tanh(x0 * -14.82587) * -0.5695855) - 0.9919421))"
12,0.07944551,"((tanh(x0 * 18.11635) + (x1 * x1)) - 1.0020802) * 0.48382354"
13,0.079198085,"tanh((((x1 * x1) + tanh(x0 * 16.229675)) * 0.5395757) - 0.54325926)"
15,0.07903353,"tanh((((x1 * (x1 * x1)) + tanh(x0 * 16.229675)) * 0.5395757) - 0.54325926)"
25,0.07894565,"tanh(tanh(tanh((tanh(((x0 - -0.12416368) - (x1 * 0.15582283)) * 9.318525) - 0.9481407) - (((x1 * x1) * (x1 * x1)) * -1.1866641))))"
