Complexity,Loss,Equation
1,0.13080268,"-0.022531562"
2,0.11899367,"tanh(x0)"
3,0.116117686,"x0 * 1.7316536"
4,0.08017438,"tanh(x0 * 137.02126)"
5,0.043084934,"tanh(tanh(x0 * 169.69547))"
6,0.01788653,"tanh(x0 * 614.29614) * 0.43334728"
8,0.014417984,"(x1 * tanh(x0 * 516.1134)) * 0.48637554"
9,0.010779686,"(x1 - 0.9804613) + tanh(tanh(x0 * 178.79088))"
10,0.002076706,"(x1 + (tanh(x0 * 427.95648) * 0.5374405)) - 0.9754212"
11,0.0006988768,"((tanh(tanh(x0 * 384.7691)) + x1) * 0.66887) - 0.6659528"
12,0.0004831679,"((tanh(tanh(tanh(x0 * 330.67072))) + x1) * 0.79122233) - 0.78009254"
14,0.00045188927,"((x1 * 0.76235324) + -0.75322205) + tanh(tanh(tanh(tanh(tanh(x0 * 262.39355)))))"
15,0.00040116766,"(tanh(x1 + -0.98914033) * 0.8209225) + tanh(tanh(tanh(tanh(tanh(x0 * 254.84813)))))"
16,0.00021403417,"tanh(tanh(tanh(tanh(tanh(x0 * 262.71844))))) + (x1 * ((x1 + -0.9962847) * 1.4888842))"
17,0.00021326308,"(((x1 + -0.99432147) * 1.6294148) * tanh(x1)) + tanh(tanh(tanh(tanh(tanh(x0 * 262.71838)))))"
18,0.000100857986,"tanh(tanh(tanh(tanh(tanh(x0 * 262.71844))))) + ((x1 + -0.9970037) * (x1 * (1.5295091 - x0)))"
19,9.422407e-5,"tanh(tanh(tanh(tanh(tanh(x0 * 262.7184))))) + tanh(((x1 + -0.99741054) * (1.6010236 - x0)) * x1)"
20,6.878329e-5,"((((2.1427696 - x0) * x1) * (x1 + -1.1400301)) + tanh(tanh(tanh(tanh(tanh(x0 * 254.88385)))))) + 0.302151"
21,4.8228805e-5,"((x1 * (2.1391892 - tanh(x0))) * (x1 + -1.1397972)) + (tanh(tanh(tanh(tanh(tanh(x0 * 261.82846))))) + 0.3009315)"
24,4.6083333e-5,"(((2.062864 - (x0 * 0.78169423)) * (x1 * (x1 + -1.1316003))) + (tanh(tanh(tanh(tanh(tanh(x0 * 254.86859))))) + 0.27443585)) * 1.0125802"
